timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601410600596,0,-0.2006836,-0.96221924,-0.29351807,Chest,Left,s1711507,11,123
1601410600596,1,-0.26538086,-0.96710205,-0.3657837,Chest,Left,s1711507,11,123
1601410600597,2,-0.29003906,-0.83258057,-0.46661377,Chest,Left,s1711507,11,123
1601410600598,3,0.21679688,-0.8701782,-0.39093018,Chest,Left,s1711507,11,123
1601410600599,4,0.20507812,-1.4155884,-0.32110596,Chest,Left,s1711507,11,123
1601410600600,5,-0.10913086,-0.92022705,-0.28619385,Chest,Left,s1711507,11,123
1601410600600,6,0.05102539,-0.97735596,-0.2612915,Chest,Left,s1711507,11,123
1601410600601,7,-0.1928711,-0.77545166,-0.33355713,Chest,Left,s1711507,11,123
1601410600602,8,-0.07299805,-0.69195557,-0.6397095,Chest,Left,s1711507,11,123
1601410600603,9,0.2446289,-1.7598267,-0.44366455,Chest,Left,s1711507,11,123
1601410600604,10,-0.57373047,-0.4866333,-0.2883911,Chest,Left,s1711507,11,123
1601410600605,11,0.08203125,-0.8765259,-0.29473877,Chest,Left,s1711507,11,123
1601410600607,12,-0.1706543,-1.0747681,-0.30743408,Chest,Left,s1711507,11,123
1601410600607,13,-0.28320312,-0.755188,-0.31695557,Chest,Left,s1711507,11,123
1601410600609,14,-0.1928711,-1.3171997,-0.3250122,Chest,Left,s1711507,11,123
1601410600609,15,-0.14453125,-1.0195923,-0.47808838,Chest,Left,s1711507,11,123
1601410600611,16,0.67163086,-1.0286255,-0.45806885,Chest,Left,s1711507,11,123
1601410600613,17,0.08642578,-1.0286255,-0.50177,Chest,Left,s1711507,11,123
1601410600613,18,-0.032958984,-1.5952759,-0.5161743,Chest,Left,s1711507,11,123
1601410600614,19,-0.008056641,-0.75860596,-0.16143799,Chest,Left,s1711507,11,123
1601410600615,20,-0.013427734,-0.07965088,-0.3850708,Chest,Left,s1711507,11,123
1601410600616,21,0.36621094,-1.0264282,-0.8250122,Chest,Left,s1711507,11,123
1601410600617,22,0.020751953,-1.7883911,-0.583313,Chest,Left,s1711507,11,123
1601410600618,23,-0.484375,-0.987854,-0.43341064,Chest,Left,s1711507,11,123
1601410600619,24,0.008544922,-0.5689087,-0.19049072,Chest,Left,s1711507,11,123
1601410600620,25,0.5876465,0.0016479492,-0.3982544,Chest,Left,s1711507,11,123
1601410600622,26,0.087402344,-1.9998169,-0.6956177,Chest,Left,s1711507,11,123
1601410600625,27,0.14941406,-1.6304321,-0.5076294,Chest,Left,s1711507,11,123
1601410600625,28,-0.051513672,-0.73321533,-0.09576416,Chest,Left,s1711507,11,123
1601410600626,29,-0.09375,0.21795654,-0.28277588,Chest,Left,s1711507,11,123
1601410600626,30,0.37817383,-0.7058716,-0.62042236,Chest,Left,s1711507,11,123
1601410600627,31,-0.5383301,-1.9998169,-0.6409302,Chest,Left,s1711507,11,123
